MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
5.3,42.3,8362,67480,76987,28320,41141,1570.617,30.140378,1905.521,334.904,37,207,4.4,7,3.8,84.2691682470875,-0.5753405261107359,-0.0519755776713759,171200,FL
5.1,44.1,20034,67390,78304,35996,35479,2687.436,30.631211,3210.536,523.1,40,188,5.8,7,4.6,74.68624679034073,-0.3862459254598095,-0.003514747609604,245400,FL
5.5,41.3,5945,37260,50387,19375,25629,1509.454,30.602217,1595.314,85.861,41,189,5.6,7,5.5,77.31371405499978,-0.5616127778312952,-0.3146642966399873,120800,FL
5.9,39.9,4866,37924,48079,21675,19473,1313.334,31.739712,1326.751,13.417,40,194,3.5,7,4.3,76.74107142857143,-0.4573127781386272,-0.1756918742694749,87100,GA
5.5,35.9,2054,35703,46086,20887,23306,878.994,31.300562,892.338,13.343,40,198,3.6,7,3.1,70.4973442781265,-0.5942180768833584,-0.2242971267305029,63400,GA
5.5,36.5,2436,36692,48190,19882,20313,669.708,31.563327,740.277,70.569,42,190,3.5,7,4.1,73.15137437088657,-0.450629621948816,-0.2267553357123349,82300,GA
5.7,52.2,852,34034,46429,25691,18654,885.63,31.319622,904.264,18.634,39,201,4.4,8,6.5,69.8670126500162,-0.4984629687792714,-0.2473714236761923,108100,GA
5.3,35.8,10219,46250,63136,26934,26492,667.812,33.059532,692.591,24.779,42,192,5.5,7,6.2,58.41191066997519,-0.3063278890960504,-0.179717682436847,128800,GA
5.9,41.5,5230,50912,58969,24303,21416,601.112,34.351922,605.763,4.651,44,191,6.1,6,3.3,72.2010582010582,-0.0682264325589056,-0.2732668993041376,164500,GA
6.4,36.0,20634,62990,71965,25849,37105,415.199,33.992009,422.016,6.818,46,178,6.2,7,3.7,76.30400730170085,-0.01716775923864,-0.1571620367055648,169900,GA
5.8,38.2,27822,61226,70686,27047,32852,1190.214,34.240918,1217.588,27.374,46,176,6.4,7,4.6,69.17002799791202,-0.1059216327452094,-0.1379943683160653,178500,GA
5.9,39.8,4941,42089,52882,20545,19747,1170.408,31.274308,1185.911,15.503,39,199,4.0,7,4.4,66.23888918108662,-0.5933507957809239,-0.1717398159807217,95200,GA
5.5,36.3,34635,41317,56802,25519,26538,646.88,32.808844,661.394,14.514,42,192,5.6,8,6.6,53.58248667923321,-0.344991714058555,-0.1091559156203701,125300,GA
5.9,36.0,3064,46992,50509,20502,27862,559.1,32.435403,567.548,8.447,41,193,5.1,8,6.1,73.64381198792583,-0.3850838671054228,-0.2352879311579649,101900,GA
5.9,40.8,4253,34679,51919,18883,17835,1145.713,31.197334,1158.249,12.536,41,199,3.5,6,4.7,76.87818336162988,-0.5728339209053817,-0.1908033126103869,92800,GA
5.6,43.6,4118,37516,53731,26115,18528,1276.982,30.833696,1289.297,12.315,39,205,3.9,7,5.0,69.18234912394549,-0.6335937345499048,-0.1632325732066973,94200,GA
6.3,34.1,10415,76121,88724,32825,41955,1129.148,32.017969,1177.035,47.887,41,188,3.8,6,3.8,71.74442031450326,-0.3196775258762541,0.1139818905107955,227400,GA
5.7,29.2,17002,48786,64248,25121,27662,1742.568,32.393408,1783.532,40.963,41,193,4.2,7,5.1,55.40413872665657,-0.4950786392179409,-0.0031476101461879,147100,GA
5.9,38.1,5530,45699,54819,24050,25018,2141.836,33.063737,2162.595,20.759,42,190,4.8,8,6.4,71.64906943450251,-0.3253652145457304,-0.1343181130750656,89900,GA
5.9,38.9,6142,48282,61188,25343,34971,477.576,33.290355,487.024,9.448,44,186,6.0,7,5.1,68.06377079482439,-0.2325458685829793,-0.2419106973478361,156700,GA
5.3,39.6,1216,41962,49531,15461,18684,726.147,31.521279,734.463,8.316,40,191,5.3,8,4.9,63.93850327831788,-0.4489229330245898,-0.3397133746732148,48700,GA
5.7,33.3,14275,60594,68288,29449,39758,1587.728,30.916358,2025.021,437.293,38,203,2.7,6,3.9,60.01493194479009,-0.6071534995264403,0.083886526083596,171400,GA
5.2,40.2,2722,36955,44683,20897,18849,629.481,32.403986,644.539,15.058,41,195,4.5,8,4.0,63.09568835098336,-0.4240201264840652,-0.2423169334847278,89800,GA
5.8,35.0,30239,59197,69844,26495,33580,1292.6,33.582237,1304.928,12.328,47,168,6.2,7,4.8,69.7414189429491,-0.118329232173177,-0.1525303613094834,147400,GA
