MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice
6.0,42.5,15753,33575,33262,859.614,39.573828,964.327,104.713,44,179,4.1,8,7.1,71.6375177919932,0.3080240737915228,0.1266727170799161,185700
6.4,41.8,85667,58021,60374,781.693,40.565522,789.576,7.883,47,165,4.8,8,5.4,78.11574135194299,0.6593599525514131,0.7509727791180686,436700
6.4,44.9,38568,46124,56064,1344.239,41.137424,1387.567,43.327,51,146,4.8,7,6.3,86.20072071294477,0.9606243334130027,0.31122681232002875,271500
5.6,38.9,138620,42606,45978,266.393,40.659871,272.988,6.595,46,169,4.2,9,7.2,61.68208775141784,0.430430549417467,0.6742773286549784,378700
6.3,44.5,28311,40626,47643,924.412,40.853524,939.796,15.384,49,156,4.7,7,5.9,77.02933266500227,0.8267604508001023,0.19812707746868005,265700
5.6,37.9,71314,38592,45167,1354.056,42.588271,1381.246,27.189,53,124,4.4,7,5.2,62.05242579246478,1.059487433921278,0.34679405024034393,230300
5.8,39.3,11553,26030,30455,2665.895,42.247894,2679.048,13.154,75,54,3.6,9,6.0,81.34486580253457,1.388531594824917,-0.2115911567501647,78400
5.9,39.7,46354,29721,30638,1827.926,42.161977,1853.174,25.249,71,64,3.8,9,6.3,68.567630515029,1.352047323322425,-0.019974204892717184,120200
5.8,42.5,20244,26797,27564,3388.612,42.244853,3425.222,36.61,76,52,4.3,10,6.3,75.95262824230817,1.4542765824228492,-0.22192160094804778,90200
6.1,43.2,19068,30996,34498,1791.19,43.008546,2236.898,445.708,71,67,4.3,10,5.4,74.43007286802485,1.3250249804983365,-0.10058441746788309,131700
5.9,42.8,32567,27061,26674,2745.974,42.304216,3885.457,1139.483,73,56,5.3,14,7.3,71.91653964039271,1.3578716272589917,-0.11995634411237495,92900
5.9,41.3,20953,29959,32564,1055.036,42.155281,1063.913,8.877,67,73,3.7,9,6.4,69.45737214158135,1.2673132151862825,-0.1351235160455602,108900
5.8,44.8,12880,28780,28489,2314.28,42.489732,2327.441,13.161,72,62,3.7,9,5.3,77.85177595628416,1.4148537369556566,-0.16564565485350063,102300
5.6,40.3,18958,29960,36846,2688.025,44.75271,2894.381,206.355,63,91,4.0,7,5.5,71.23884051581616,1.5956027779939412,-0.06821655224446035,139600
5.7,48.5,16205,40475,40253,1643.879,42.247729,1679.0,35.121,52,134,3.9,7,4.4,75.90507956361616,1.0190941962178732,0.1170115925088377,236500
6.0,36.4,11624,28407,34728,1291.783,42.593824,1298.927,7.144,70,67,4.0,9,6.2,68.81016557566423,1.4559225467290298,-0.18444821089342409,126700
5.5,48.3,11587,28139,30004,3735.903,42.193987,3800.668,64.766,71,72,4.0,8,5.4,75.9870748620218,1.432735796518895,-0.13526968660472846,144000
5.9,42.5,72055,42309,44857,2060.672,41.755009,2137.64,76.969,51,142,4.4,7,5.1,72.5874572836583,0.9738382945693627,0.4278855484930298,290700
5.9,40.2,228440,35050,36586,2700.563,42.752759,3177.537,476.974,71,61,3.8,10,7.4,69.07999582800151,1.2816344842786116,0.7505724441599035,160700
5.6,48.3,10209,33906,36665,4647.03,44.108971,4963.007,315.978,64,88,3.8,6,5.6,76.50633790588644,1.4765096088020735,-0.014540141057862993,160400
5.8,40.5,11882,26886,32312,4219.398,44.594374,4396.43,177.032,74,68,4.1,8,5.6,75.28453470207543,1.8557554203815874,-0.16912582530077494,110600
5.7,44.2,14552,29984,32330,1283.259,43.115609,1380.152,96.893,59,102,4.6,8,6.1,69.81182590071138,1.2436716012550153,-0.14352155635981895,120100
6.0,43.0,14977,30846,34011,1276.698,43.00091,1282.84,6.143,71,61,3.4,9,5.1,76.16908850726553,1.2956305205865917,-0.15255059848319816,125200
5.6,46.7,10701,30970,32753,1676.14,42.286951,1704.341,28.201,53,130,4.4,7,5.8,78.40666575852518,1.15898370533886,-0.06186617708694491,185600
4.8,55.5,939,28758,37417,4447.976,43.657879,4682.19,234.214,66,86,4.0,7,6.1,82.7506367214633,1.505453571146063,-0.08513001787691327,170500
6.0,44.3,15791,29540,32590,3655.689,43.461635,3776.09,120.4,75,62,5.8,9,7.0,76.91165062965226,1.7901491489423524,-0.17801370297120145,106600
5.5,32.8,28391,28120,34213,3285.632,43.995371,4810.181,1524.549,69,75,4.2,11,5.9,57.93936622267955,1.44276422801061,-0.004798235205475259,150100
5.5,42.2,7111,27770,36293,3301.404,43.786397,3340.985,39.581,71,71,4.7,9,5.8,82.99509879001378,1.728254928632539,-0.2293662814336731,122800
6.1,41.5,15535,30523,33974,1636.257,42.727485,1658.263,22.006,68,64,3.1,9,5.2,79.54768068285173,1.2623039296245517,-0.11787671993005919,134000
6.0,42.3,16675,32443,33730,1696.033,42.910026,1712.715,16.681,69,74,4.2,10,5.4,80.48417245414343,1.400497886757995,-0.091145207710848,140000
5.9,39.0,183050,35339,37272,1702.154,43.464475,3539.813,1837.659,68,66,3.4,10,6.5,67.21392527580576,1.269854224031163,0.6193009001538042,152000
5.9,40.9,12251,27346,31467,1043.876,42.900891,1062.815,18.939,63,87,4.6,8,6.5,70.0240454375855,1.2837953470502574,-0.19160173512967207,110700
6.6,41.9,346312,53363,54188,737.411,40.729687,1173.872,436.461,46,172,5.0,11,5.3,83.36638301311311,0.5328411883486699,1.6014193983287526,524400
5.9,43.4,55242,31762,33769,1352.904,43.456731,2951.73,1598.827,69,63,3.5,12,7.1,75.49252906709057,1.2403121105117667,0.07632715810278565,131600
5.9,40.8,57270,30678,34697,3140.176,43.242727,3257.314,117.138,70,70,5.3,9,5.9,71.36045230046992,1.6534800756945243,-0.012419682863535415,133100
6.0,39.2,113106,34600,38667,2016.02,43.00653,2086.541,70.521,70,70,4.1,10,6.0,68.86909824643949,1.3470728573950865,0.29475266650802423,148100
6.1,43.8,29061,37044,39538,1668.122,42.856695,1715.936,47.814,68,67,3.2,9,5.1,76.58692395390689,1.2706042510163333,0.006756620046075103,163100
6.0,37.1,91759,35616,41631,2102.257,41.40241,2172.079,69.822,51,146,4.5,7,5.6,70.4626784551555,0.9327820031041789,0.4092601805643659,278400
6.2,43.4,11047,26894,35065,1013.357,43.502287,2117.113,1103.756,69,63,3.8,12,6.0,77.62328858168284,1.324045082299452,-0.20013973390195022,101400
5.9,40.6,30267,30026,36492,2464.761,43.461443,3398.279,933.518,72,70,5.4,11,6.5,73.97324592487597,1.639886896636808,-0.12024481831177128,109500
5.9,42.0,14714,30223,35347,2594.392,42.629776,2630.786,36.394,69,72,4.0,9,5.5,76.280806848226,1.4781252536033478,-0.11530138195614831,150700
6.3,44.2,26354,47533,54060,596.504,41.427904,637.787,41.283,48,155,4.8,7,4.8,84.83400506918187,0.8703795406585298,0.3861356021674188,366400
5.7,39.9,39401,37011,43887,1689.789,42.710421,1723.361,33.571,55,122,4.3,7,5.0,67.0491706973192,1.1418772660391616,0.16551776707983074,197100
6.4,35.9,75714,39923,50530,449.493,41.154785,516.293,66.8,48,160,4.6,7,5.2,66.60772178013558,0.741758538884814,0.5194240137507717,452500
6.0,42.9,62035,45624,50801,2097.849,43.106135,2185.452,87.603,55,122,4.6,7,4.4,77.34293994097786,1.2396069621270818,0.3620271190150369,266000
5.6,39.9,33599,33379,42475,529.694,42.817542,542.308,12.614,54,124,4.2,7,5.8,68.79118102697419,1.062429158470748,0.07673775789511925,172500
5.5,45.8,8046,32352,35015,1610.504,42.591294,1622.181,11.677,66,84,4.2,8,5.2,77.22749053379351,1.2717055010896132,-0.1316941182958534,142600
5.8,46.8,4574,28844,33731,850.379,42.419776,886.626,36.246,67,71,3.5,9,6.5,75.36437361764872,1.2622186627136596,-0.23969335674014147,127000
6.0,41.9,8279,28703,33307,838.393,42.782294,1011.232,172.839,67,72,3.6,9,5.6,75.3998525593769,1.2299637224114228,-0.2022375428820249,107500
6.0,42.9,25921,30844,31827,3601.532,42.266725,3636.559,35.027,70,67,3.2,9,5.8,76.04394670293473,1.2876671283451877,-0.06289025692419586,104200
6.4,41.7,361133,46466,52678,2362.201,40.943554,6146.386,3784.185,48,158,5.7,14,5.3,84.19723174826676,0.5606293820164289,1.7191658364487499,413900
5.4,42.8,17925,32346,36320,2507.45,41.720176,2581.5,74.049,55,125,4.8,7,6.0,67.83084133006025,1.1539024630062091,-0.047457740683917934,175900
